510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
510, 60, 23, 73, Orange
512, 62, 25, 71, Orange
515, 58, 22, 72, Orange
518, 61, 23, 70, Orange
520, 59, 20, 68, Orange
522, 63, 24, 75, Orange
525, 56, 26, 74, Orange
528, 57, 24, 69, Orange
530, 55, 21, 67, Orange
532, 64, 27, 72, Orange
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
608, 62, 25, 71, Lemon
611, 58, 22, 72, Lemon
613, 61, 23, 70, Lemon
615, 59, 20, 68, Lemon
618, 63, 24, 75, Lemon
620, 56, 26, 74, Lemon
623, 57, 24, 69, Lemon
625, 55, 21, 67, Lemon
627, 64, 27, 72, Lemon
605, 60, 23, 73, Lemon
